statistic,factor,level,lwr,upr,est
p2,skew,"(1.5,1.75]",0.0544445201959554,0.0611035615107218,0.057388404027475
p2,skew,"(1.75,Inf]",0.0648674687769597,0.0733384229126984,0.0689746121085538
s2,margin,beta,0.151775379447867,0.154165224117536,0.152901037686882
s2,margin,bks,0.16350741869293,0.175062790775387,0.168841165625831
s2,margin,nks,0.158800121822666,0.160908489264354,0.159909451367942
s2,margin,norm,0.141624317418301,0.144755731128668,0.143287545648072
s2,n,100,0.256101335366994,0.262562294434445,0.258934516201223
s2,n,25,0.0689401149769387,0.0726435165554183,0.0707721101651017
s2,n,50,0.136487617953898,0.14165377077383,0.13899777388022
s2,skew,"(0,0.25]",0.0338980147752313,0.0347298624414305,0.034290754477385
s2,skew,"(0.25,0.5]",0.0943055923746124,0.103676560404435,0.0991560221906004
s2,skew,"(0.5,0.75]",0.128882246645891,0.135112638578174,0.131988520599531
s2,skew,"(0.75,1]",0.139549897061763,0.145869047790931,0.142590498776757
s2,skew,"(1,1.25]",0.179382019606481,0.185091704817561,0.182134653780617
s2,skew,"(1.25,1.5]",0.198490592347786,0.204135549620564,0.201280377956625
s2,skew,"(1.5,1.75]",0.224317258084104,0.236497694404695,0.230597934030889
s2,skew,"(1.75,Inf]",0.220830884902046,0.23547346777051,0.227839638845051
t2,margin,beta,0.0556541574414209,0.0573026606281951,0.0565588114722611
t2,margin,bks,0.049058853970226,0.0556845951401739,0.0520509809021952
t2,margin,nks,0.0522132238802732,0.0534430760574974,0.0528869408322731
t2,margin,norm,0.0540885886565322,0.0560833604956416,0.0550328546150024
t2,n,100,0.0509462753367668,0.0538340078154872,0.0523303839930307
t2,n,25,0.0549332957503329,0.0583397961210888,0.0566261666878553
t2,n,50,0.0519463401518017,0.0550753892296764,0.0534406401854129
t2,skew,"(0,0.25]",0.047807597617079,0.0488299298892086,0.0483715259220734
t2,skew,"(0.25,0.5]",0.0486749072843808,0.0547694517403296,0.0516819819801811
t2,skew,"(0.5,0.75]",0.0467459721327652,0.0508376669015235,0.0487310876928617
t2,skew,"(0.75,1]",0.0496175890444976,0.0534422373391732,0.05128933693491
t2,skew,"(1,1.25]",0.0541372757033696,0.0574591202924235,0.0556697029744815
t2,skew,"(1.25,1.5]",0.055041229417738,0.05829057896479,0.0565788132846689
t2,skew,"(1.5,1.75]",0.0523981397520245,0.0590334123923302,0.0554306443781656
t2,skew,"(1.75,Inf]",0.0612702250496848,0.0697784479121941,0.0653060824761215
w2,margin,beta,0.123991535139716,0.126401492642438,0.125114798263721
w2,margin,bks,0.117580873625094,0.128122971472932,0.122542286677505
w2,margin,nks,0.124859137043868,0.126893968859527,0.125966916656482
w2,margin,norm,0.116967396224507,0.119986184184082,0.118490610043361
w2,n,100,0.171885235563285,0.177310373274067,0.174592023558777
w2,n,25,0.0799840970712487,0.0840411829156944,0.0819796781675728
w2,n,50,0.110094824677786,0.114838117101277,0.112514257004452
w2,skew,"(0,0.25]",0.0481750502620873,0.0492201353594124,0.0487138662414048
w2,skew,"(0.25,0.5]",0.0720956807440325,0.0799687400709439,0.0759045649681102
w2,skew,"(0.5,0.75]",0.0914795055228796,0.0968476264737899,0.0937745431900873
w2,skew,"(0.75,1]",0.105203794105083,0.110559404461595,0.107827494364545
w2,skew,"(1,1.25]",0.129077906908561,0.134067604117283,0.131678436100616
w2,skew,"(1.25,1.5]",0.142297628759668,0.147347593032178,0.14465083601037
w2,skew,"(1.5,1.75]",0.158877228907479,0.169827207423454,0.164424968890779
w2,skew,"(1.75,Inf]",0.209918860156264,0.225177620118319,0.217254513516226
