statistic,factor,level,lwr,upr,est
b2,margin,beta,0.0660839828126608,0.0680671171505323,0.0669759618200533
b2,margin,bks,0.0646637702885998,0.0672396636907484,0.0659007301094556
b2,margin,nks,0.0674201324114386,0.0690628255792895,0.0682274536148625
b2,margin,norm,0.0699111639390202,0.07266008253945,0.0712668614033422
b2,n,100,0.0582198483236699,0.0600481850192471,0.0591039787058462
b2,n,25,0.0779227665730411,0.0800997282880111,0.0790105801443012
b2,n,50,0.0653026358993781,0.0671966674361976,0.0661636963606377
b2,skew,"(0,0.25]",0.0586081511760045,0.059058953717667,0.058829300177232
b2,skew,"(0.25,0.5]",0.0593609664192552,0.0616438269985972,0.0604940257021691
b2,skew,"(0.5,0.75]",0.0600598090424115,0.0620963896986406,0.0611698433303899
b2,skew,"(0.75,1]",0.062714254820388,0.0648148634801121,0.0637646075266095
b2,skew,"(1,1.25]",0.0655186187600707,0.0678521272528634,0.0667165618561854
b2,skew,"(1.25,1.5]",0.0644678445592226,0.0674492806356257,0.0659572339576733
b2,skew,"(1.5,1.75]",0.0666668511288676,0.0720815171092406,0.0693703364200889
b2,skew,"(1.75,Inf]",0.0960742172481471,0.101095020552439,0.0984401049250789
d,margin,beta,-0.00011148202101801,3.69180557585955e-05,-3.59180642533575e-05
d,margin,bks,-0.000133897396105733,0.000193062416233176,2.73937078229377e-05
d,margin,nks,-7.47444028700375e-05,0.000107000318462022,1.65721751457114e-05
d,margin,norm,-0.000152654178231003,4.74295403301888e-05,-4.73802524404558e-05
d,n,100,-2.65913672249362e-05,9.55075589110451e-05,3.23514997982639e-05
d,n,25,-0.000131822778256223,0.00011895276977439,-2.36518274402426e-06
d,n,50,-0.000146188902438402,2.58687334043903e-05,-5.94856423481129e-05
d,skew,"(0,0.25]",-3.44599004325841e-05,2.22535433767578e-05,-4.02664582522631e-06
d,skew,"(0.25,0.5]",-0.000149762632169138,0.000171620860670995,1.13529638171947e-05
d,skew,"(0.5,0.75]",-0.000207708866547656,7.45268309267966e-05,-6.53638329521349e-05
d,skew,"(0.75,1]",-0.000207331826306645,6.49670431196015e-05,-7.23930198857769e-05
