statistic,factor,level,lwr,upr,est
b2,cop,BB1,0.057411859696416,0.0620918743722715,0.0598118554294829
b2,cop,BB6,0.0404964209332845,0.0858620943905138,0.0623979603979247
b2,cop,BB7,0.0588107793943098,0.060181017944888,0.0594849350243981
b2,cop,BB8,0.0588773182469175,0.0627290144943847,0.0607083740095038
b2,cop,C,0.0585960132153654,0.0609331169127929,0.0596874824746572
b2,cop,F,0.0577071192087156,0.0599525044552985,0.0588405165534699
b2,cop,G,0.0585143754418282,0.0595878429191862,0.059093218561574
b2,cop,I,0.0581613977520561,0.0741219612773686,0.0651817628997414
b2,cop,J,0.0580328515959768,0.060116539710093,0.0590550694181014
b2,cop,N,0.0583889928627864,0.060208140825553,0.0593243189488933
b2,cop,t,0.058296387489701,0.0597887095860861,0.0590281036519602
b2,cop,Tawn,0.0665596588014244,0.0675282586473226,0.0670558888303523
b2,margin,beta,0.0589538768892687,0.060612219884879,0.0597203717495352
b2,margin,bks,0.060297792022383,0.0651249223222973,0.0625951439745887
b2,margin,nks,0.0583177448977865,0.0622831687467833,0.0601305570336246
b2,margin,norm,0.0588448809227446,0.0620434600176988,0.0604042460216004
b2,n,100,0.0539345111671873,0.0571732416487491,0.0554884268838903
b2,n,25,0.065342694477162,0.0685442680348445,0.066934040307356
b2,n,50,0.058288551219736,0.0612128959324178,0.0596764703825179
d,cop,BB1,-8.21250917012428e-05,0.000312014862786325,0.000103747470868559
d,cop,BB6,-0.000258541924346733,0.0012192460993392,0.000508481612543044
d,cop,BB7,-7.29492593860728e-05,4.97559680122383e-05,-1.29576354394192e-05
d,cop,BB8,-0.000212959532816249,0.000174481483652576,-1.26342431394677e-05
d,cop,C,-6.57060508607475e-05,0.000206825551237536,6.07191528050226e-05
d,cop,F,-5.85955832498144e-06,0.000299142631829813,0.00014461674743147
d,cop,G,-7.40884543403879e-05,3.92611279858062e-05,-2.12778805847889e-05
d,cop,I,2.42952298976173e-05,0.00291392517102171,0.00154515310214573
d,cop,J,-8.29661564179657e-05,0.000165475080903019,4.91046049374639e-05
d,cop,N,-7.69300837811401e-05,0.000107205652192366,2.20736396828983e-05
d,cop,t,-6.47315263157986e-05,0.000130672911120034,2.44682381655838e-05
d,cop,Tawn,2.27482620562787e-06,0.000117222457149359,5.67640520666968e-05
d,margin,beta,-9.70491607402455e-05,0.000116827702135947,1.84500053820431e-05
d,margin,bks,0.0001677667735909,0.0010855930543462,0.000616409832375908
d,margin,nks,-2.99763973010826e-05,0.000163627738535493,6.40037111139665e-05
d,margin,norm,-0.000209469869107797,0.000287978658994459,5.41898054179065e-05
d,n,100,-6.93989201093397e-06,0.000311049146403627,0.000152692997303977
d,n,25,7.23259829147539e-05,0.000678624502678535,0.000385349545941388
d,n,50,-0.000196789650168172,0.000222749366905305,1.84634973081038e-05
p2,cop,BB1,0.0487138643687953,0.0531088749242762,0.0509825803642181
p2,cop,BB6,0.0403216552025712,0.0842272954448094,0.0623979603979247
p2,cop,BB7,0.0498873084885156,0.0511136804885442,0.0505017821893795
p2,cop,BB8,0.0501864710613558,0.0537575843045534,0.0518923848047777
p2,cop,C,0.0494612738100653,0.0516209918354827,0.0504943736828078
p2,cop,F,0.0489799975686456,0.0509953937913529,0.0500020722059006
p2,cop,G,0.0497562513078565,0.0507738661038101,0.0502971426300141
p2,cop,I,0.0477620598748496,0.0623304309912057,0.0544266850074627
p2,cop,J,0.0489660958939164,0.0508778022021128,0.0499081333288046
p2,cop,N,0.0492292901740841,0.0508768737048912,0.0500470108771218
p2,cop,t,0.0500077602975809,0.0513579729529501,0.0506869892476545
p2,cop,Tawn,0.0576275417348954,0.0585691300461829,0.0581217787836892
p2,margin,beta,0.0500478479753051,0.0515968899806607,0.0508240098241373
