statistic,factor,level,lwr,upr,est
d,cop,t,-0.000155999269920786,4.19927279769512e-05,-5.51856206493134e-05
d,cop,Tawn,-8.02008119631936e-05,3.6083921997988e-05,-2.35560571405111e-05
d,margin,beta,-0.000134366136344587,0.000105275059283562,-1.11826135166086e-05
d,margin,bks,-0.000192279190685674,0.000175120389778472,-2.18068991472598e-07
d,margin,nks,-8.46529197854709e-05,0.000131962791035196,2.69940667660029e-05
d,margin,norm,-0.000179061078538866,2.7923318400703e-05,-7.46577063476863e-05
d,n,100,-5.21990405520856e-05,9.71002478524965e-05,2.43577799684314e-05
d,n,25,-0.000232837172496962,5.83213852613767e-05,-7.1900453411331e-05
d,n,50,-0.000110026498047298,0.000106433774762448,3.24443187557615e-06
p2,cop,BB1,0.0481933657060242,0.0584463454548925,0.0532596484941731
p2,cop,BB7,0.048585156827213,0.0507277703722521,0.0496457665279325
p2,cop,BB8,0.0479617163104026,0.0512185038835698,0.0495789728511181
p2,cop,C,0.0489488901197332,0.0501262122557068,0.0495410766055076
p2,cop,F,0.0491097440816138,0.0505609382216885,0.0498210059469893
p2,cop,G,0.0494957837290604,0.0503891073518494,0.0499669035198512
p2,cop,I,0.0489274166412389,0.0528499416179823,0.0508363089585502
p2,cop,J,0.0496744453409425,0.050595283335533,0.0501258871396602
p2,cop,N,0.0488930083851955,0.050617240721746,0.0497330077035691
p2,cop,t,0.0493856690325669,0.0509022541510788,0.0501883545041425
p2,cop,Tawn,0.0564238811457131,0.0573350806711623,0.0568139972223264
p2,margin,beta,0.0494763394327508,0.0518773499201684,0.0505876727722921
p2,margin,bks,0.0499373236513584,0.0523341652234174,0.051019503256201
p2,margin,nks,0.0495292739043142,0.0514437873176126,0.0504454291122728
p2,margin,norm,0.0504719047917524,0.052356564909397,0.051405914667896
p2,n,100,0.050109128094755,0.0520896517235545,0.0510517150958479
p2,n,25,0.0501441448092808,0.052153617177021,0.0510737941374701
p2,n,50,0.0496211422905638,0.0514225631906377,0.0504683806231784
s2,cop,BB1,0.0323491351307232,0.0412668349219233,0.0366292908320594
s2,cop,BB7,0.0332461163260213,0.0350713014344004,0.0341794883127013
s2,cop,BB8,0.0330240094684487,0.0358758881649229,0.0343920803671364
s2,cop,C,0.0333975796259555,0.0344280789660662,0.033972480952774
s2,cop,F,0.0339455312198983,0.0352101635023113,0.0345572488172069
s2,cop,G,0.0339038874205528,0.0346693514579316,0.0342837042542073
s2,cop,I,0.0325267834461447,0.0357007140822768,0.0341806135276388
s2,cop,J,0.0343271171985106,0.0351457807120236,0.0347439652430207
s2,cop,N,0.0338121314345629,0.0352937566093026,0.034557819439442
s2,cop,t,0.0335552792230403,0.0347691639534679,0.0341664510373803
s2,cop,Tawn,0.161767887821443,0.163190161083251,0.162453863771487
