statistic,factor,level,lwr,upr,est
b2,cop,BB1,0.0535944393979072,0.0631067586606043,0.0583813299079809
b2,cop,BB7,0.0600657213935301,0.0639452287393256,0.0619478131858326
b2,cop,BB8,0.0559705127179145,0.0629660965159171,0.0592022533443926
b2,cop,C,0.0573462355884831,0.0603185100803523,0.0588794635908533
b2,cop,F,0.0574359669163241,0.0604902537735185,0.0589038529932011
b2,cop,G,0.0573758395951573,0.061361317589512,0.0592684738228694
b2,cop,I,0.0571027422606321,0.0623081462476443,0.0596668201408228
b2,cop,J,0.0586622257423928,0.0614662826996344,0.0600479604513118
b2,cop,N,0.055699440048717,0.0597715414343496,0.0576335038496646
b2,cop,t,0.0543171777057089,0.0615600566735344,0.05742869849408
b2,cop,Tawn,0.0608124453791494,0.0625455511133856,0.0616546945987558
b2,margin,bbinom,0.0590322036358538,0.0604405100469912,0.0597574655706791
b2,margin,dks(1),0.0584590715533126,0.0614662050838996,0.0598432516458796
b2,margin,dks(2),0.0590347571635193,0.0606151363901285,0.059798505603183
b2,margin,dks(5),0.0550586849829832,0.0602729888546816,0.0575932070453429
b2,n,100,0.0521373951687883,0.0547041584573345,0.0533528167767431
b2,n,25,0.0657829186287591,0.0684780911952025,0.0670990777186757
b2,n,50,0.0562629257682663,0.0589018970526054,0.0575288422492417
d,cop,BB1,-0.000396501022697702,0.0013437425647213,0.000384633256628797
d,cop,BB7,-0.000201338749537742,0.000454462031431467,0.00011086771771424
d,cop,BB8,-0.000479240029474624,0.000744060408087907,9.05772023761287e-05
d,cop,C,-0.000510228118896129,7.16055452173475e-05,-0.000236079583276874
d,cop,F,-0.000380849695125253,0.000144298270867263,-9.72240761926225e-05
d,cop,G,-0.00022771884187866,0.000521263944223153,0.000155046849146447
d,cop,I,-0.000787496754262102,0.000724733097431462,-1.41713606007457e-05
d,cop,J,-0.000169799154227288,0.000319211017759608,4.87958085140048e-05
d,cop,N,-0.00103403292820718,-0.000137137571444725,-0.000558783287361405
d,cop,t,-0.00110136504496299,0.000495938651264139,-0.000337058775593732
d,cop,Tawn,-8.40441796481336e-05,0.00026954416732786,8.66791780604658e-05
d,margin,bbinom,-0.000197882195400062,4.16776273284897e-05,-7.92506129092434e-05
d,margin,dks(1),-0.000142946400569888,0.000439595791930207,0.000155582641793365
d,margin,dks(2),-0.000133313028499581,0.000217631904978635,4.06504698223941e-05
d,margin,dks(5),-0.000975046767389373,0.000224049296367717,-0.000361019638050655
d,n,100,-0.0002309611007424,0.000114692202663918,-6.55076747351166e-05
d,n,25,-0.000537748892749911,0.000146750264718765,-0.000220399927891035
d,n,50,-0.000102798548757221,0.000406972753122114,0.00014573837000585
p2,cop,BB1,0.0401610480455642,0.0488559309623367,0.0446488546705608
p2,cop,BB7,0.0477761555900674,0.0513737908806627,0.0495863753912354
p2,cop,BB8,0.0437347400043598,0.04958527892535,0.0464946018914323
p2,cop,C,0.0456187354020593,0.0482855374636839,0.047069006459451
p2,cop,F,0.046005249373834,0.0488086619674836,0.047319243974707
p2,cop,G,0.0444176711345954,0.0478671402897655,0.0461035238482354
p2,cop,I,0.0455462484273424,0.0504172046266369,0.0479169769193787
p2,cop,J,0.0465536239447269,0.0490453336739324,0.0477914867236171
p2,cop,N,0.0437981520272625,0.0473258841907524,0.0454675358836716
p2,cop,t,0.0441153709865501,0.0509001837446433,0.0471473488762484
p2,cop,Tawn,0.0491084590706036,0.0507241602774641,0.0499261153062167
p2,margin,bbinom,0.0467749148863546,0.0480592271912435,0.0474451070625331
p2,margin,dks(1),0.0466240926300026,0.049297768371587,0.0478700514185838
p2,margin,dks(2),0.046707252276745,0.0481219750570033,0.0474294653734978
p2,margin,dks(5),0.0435521151931994,0.0483027550544866,0.0459397985907178
p2,n,100,0.0472991412732144,0.0497316154418745,0.0484743733712565
p2,n,25,0.044798651553922,0.0471343498953522,0.0459871336572694
p2,n,50,0.0461927253598059,0.0484899381421854,0.0472277108084186
s2,cop,BB1,0.0292007478659231,0.0368187165966631,0.0326526512482894
s2,cop,BB7,0.0330424451216075,0.0363280647565048,0.0347049624252361
s2,cop,BB8,0.0318421653681929,0.0375239145910173,0.034562876170514
s2,cop,C,0.0314264361160848,0.0335542111747234,0.0324915550422903
s2,cop,F,0.0333105307765406,0.0355060951890296,0.0344496007890536
s2,cop,G,0.0323817136100102,0.0354121642526807,0.0336752190022702
s2,cop,I,0.0308636610021458,0.0349445961789623,0.0328880892203065
s2,cop,J,0.0336153381319768,0.035757878159463,0.0346336303797237
s2,cop,N,0.0329561338613371,0.0364715841915658,0.0345390136407056
s2,cop,t,0.0317516581110213,0.037645768894264,0.0344345628614698
s2,cop,Tawn,0.124252397040918,0.12652323371082,0.125334290439322
s2,margin,bbinom,0.0429523215987114,0.0440672659895851,0.043515197252415
s2,margin,dks(1),0.0408780750305816,0.0430356218173051,0.0418545219880522
s2,margin,dks(2),0.0428693152340248,0.0439825655796556,0.0434271810976202
s2,margin,dks(5),0.0393905935629712,0.0436526361742936,0.0414824763871374
s2,n,100,0.0532207872075803,0.0556072198219735,0.0543190643512936
s2,n,25,0.0313283855232643,0.0332206390377278,0.0321790176083752
s2,n,50,0.0403420196895218,0.0424216059698983,0.0413667888405597
t2,cop,BB1,0.041790711090577,0.0504498833405651,0.0463539974213263
t2,cop,BB7,0.0503842683310961,0.0541775991057127,0.0522115933052123
t2,cop,BB8,0.0461065923030352,0.052069311077386,0.0490217934962768
t2,cop,C,0.0479106727501,0.0505988698142068,0.0492892575804375
t2,cop,F,0.0481001143067792,0.0509356073323087,0.049400718864577
t2,cop,G,0.04703191298266,0.0504324607142886,0.048702839494825
t2,cop,I,0.0475482090696016,0.0523996679932937,0.0498291355711391
t2,cop,J,0.0487825106169145,0.0514202684693241,0.0501150220865423
t2,cop,N,0.0460200531987024,0.0496051653654562,0.0476354887774023
t2,cop,t,0.0459469624101017,0.0529819581147423,0.0489881684944546
t2,cop,Tawn,0.0514134395442756,0.0530166010534766,0.0522239600689614
t2,margin,bbinom,0.0493426443338029,0.0506688553203648,0.0500091547601419
t2,margin,dks(1),0.0488387360632099,0.0514286841629092,0.0500614792090057
t2,margin,dks(2),0.0488870892268402,0.0503035832944183,0.0495986530838468
t2,margin,dks(5),0.0454259026042614,0.0502350189719842,0.0477955724816824
t2,n,100,0.0481952743610095,0.0506320860798032,0.0493747919117967
t2,n,25,0.0484400705376067,0.0508572628597144,0.0496887685018116
t2,n,50,0.0481910051047823,0.0504999131005349,0.0492594617233974
w2,cop,BB1,0.0428945471958988,0.0518820667855549,0.0474039036186239
w2,cop,BB7,0.0480063274055453,0.0516355748501336,0.0498101583003709
w2,cop,BB8,0.0437490029381396,0.0498391932513656,0.0466976095131587
w2,cop,C,0.0464465173976472,0.0490798797168696,0.0477377602961183
w2,cop,F,0.0464510720440867,0.0491772499366221,0.0478443954754728
w2,cop,G,0.0456846483934955,0.0490435125811472,0.0473716185633134
w2,cop,I,0.0451820736500731,0.0498389586607155,0.047479117011291
w2,cop,J,0.0474958470953096,0.0501700156131226,0.0486884070130167
w2,cop,N,0.0450461546005177,0.0486875558009526,0.0469013360111793
w2,cop,t,0.0443794028489198,0.0508286138737426,0.0475540092065968
w2,cop,Tawn,0.0647048533520331,0.0665556155454287,0.0655933446967244
w2,margin,bbinom,0.048953424644804,0.0502420521612511,0.0496056906895749
w2,margin,dks(1),0.0487767331161851,0.0514866275117964,0.0500238300385888
w2,margin,dks(2),0.0490861669929571,0.050435494998669,0.0497600299993534
w2,margin,dks(5),0.0455980023991963,0.0504140929343554,0.0479808354335313
w2,n,100,0.0504318065996079,0.0529260762127552,0.0516071339732363
w2,n,25,0.0458085112805434,0.0480201956775042,0.0468938288961158
w2,n,50,0.0485922247114896,0.0509126685923739,0.0497213640523957
